Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Online,M,12/20/2019,957081544.0,552.0,279.84,174.76,154471.68,96467.52,58004.16
Central America and the Caribbean,Panama,Snacks,Offline,C,7/5/2016,301644504.0,2167.0,141.5,90.37,306630.5,195831.79,110798.71
Europe,Czech Republic,Beverages,Offline,C,9/12/2017,478051030.0,4778.0,45.51,30.49,217446.78,145681.22,71765.56
Asia,North Korea,Cereal,Offline,L,5/13/2016,892599952.0,9016.0,201.4,114.66,1815822.4,1033774.56,782047.84
Asia,Sri Lanka,Snacks,Offline,C,7/20/2023,571902596.0,7542.0,167.26,106.82,1261474.92,805636.44,455838.48
Middle East and North Africa,Morocco,Personal Care,Offline,L,11/8/2016,412882792.0,48.0,82.74,57.37,3971.52,2753.76,1217.76
Australia and Oceania,Federated States of Micronesia,Clothes,Offline,H,3/28/2017,932776868.0,8258.0,109.51,35.92,904333.58,296627.36,607706.22
Europe,Bosnia and Herzegovina,Clothes,Online,M,10/14/2019,919133651.0,927.0,107.81,35.36,99939.87,32778.72,67161.15
Middle East and North Africa,Afghanistan,Clothes,Offline,M,8/27/2022,579814469.0,8841.0,112.02,36.74,990368.82,324818.34,665550.48
North America,Ethiopia,Baby Food,Online,M,4/13/2023,192993152.0,9817.0,271.86,169.77,2668849.62,1666632.09,1002217.53
Middle East and North Africa,Turkey,Office Supplies,Offline,C,9/25/2019,557156026.0,3704.0,640.48,516.31,2372337.92,1912412.24,459925.68
Middle East and North Africa,Oman,Cosmetics,Online,M,5/12/2019,741101920.0,7382.0,460.68,277.47,3400739.76,2048283.54,1352456.22
Asia,Malaysia,Cereal,Offline,L,7/31/2022,333942162.0,9762.0,213.22,121.39,2081453.64,1185009.18,896444.46
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,H,7/6/2023,795100581.0,6786.0,399.45,240.59,2710667.7,1632643.74,1078023.96
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Online,L,11/28/2016,504313504.0,6428.0,250.04,156.15,1607257.12,1003732.2,603524.92
Middle East and North Africa,Lebanon,Meat,Offline,H,12/17/2023,611629760.0,3693.0,421.9,364.7,1558076.7,1346837.1,211239.6
Europe,Austria,Cereal,Offline,C,8/13/2020,987410676.0,5616.0,191.0,108.74,1072656.0,610683.84,461972.16
Europe,Bulgaria,Office Supplies,Online,L,10/31/2016,672330081.0,6266.0,641.44,517.08,4019263.04,3240023.28,779239.76
Sub-Saharan Africa,Mexico,Beverages,Online,C,3/13/2021,127374303.0,1742.0,49.88,33.42,86890.96,58217.64,28673.32
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,C,4/16/2019,783842170.0,5172.0,279.84,174.76,1447332.48,903858.72,543473.76
Middle East and North Africa,Libya,Beverages,Offline,L,1/18/2016,993345010.0,1718.0,43.95,29.44,75506.1,50577.92,24928.18
Middle East and North Africa,Algeria,Baby Food,Offline,M,9/5/2023,977806651.0,3572.0,271.86,169.77,971083.92,606418.44,364665.48
Europe,Estonia,Fruits,Online,L,9/28/2022,579463422.0,4958.0,9.98,7.4,49480.84,36689.2,12791.64
Australia and Oceania,Tuvalu,Beverages,Offline,L,3/22/2018,610864150.0,7132.0,51.81,34.71,369508.92,247551.72,121957.2
Middle East and North Africa,Saudi Arabia,Snacks,Offline,L,4/25/2021,604870164.0,3378.0,142.54,91.03,481500.12,307499.34,174000.78
Central America and the Caribbean,Cuba,Cereal,Online,H,3/13/2020,164655292.0,4015.0,191.0,108.74,766865.0,436591.1,330273.9
Europe,Montenegro,Fruits,Offline,L,5/29/2022,313705861.0,1390.0,9.98,7.4,13872.2,10286.0,3586.2
Central America and the Caribbean,Guatemala,Office Supplies,Online,M,1/17/2018,345820701.0,4885.0,601.4,484.81,2937839.0,2368296.85,569542.15
North America,Guinea,Baby Food,Online,M,12/27/2018,975111138.0,5910.0,262.74,164.08,1552793.4,969712.8,583080.6
Australia and Oceania,Vanuatu,Snacks,Online,C,4/1/2019,286001002.0,2907.0,154.99,98.98,450555.93,287734.86,162821.07
Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,H,6/26/2023,483226621.0,6350.0,399.45,240.59,2536507.5,1527746.5,1008761.0
Australia and Oceania,Australia,Clothes,Offline,M,1/17/2018,241836822.0,3744.0,109.01,35.75,408133.44,133848.0,274285.44
Middle East and North Africa,Oman,Clothes,Online,H,7/3/2017,557192933.0,4626.0,109.51,35.92,506593.26,166165.92,340427.34
North America,Malawi,Meat,Online,L,2/17/2018,694968783.0,5562.0,391.97,338.82,2180137.14,1884516.84,295620.3
Middle East and North Africa,Lebanon,Fruits,Online,H,4/5/2019,441150701.0,5150.0,9.06,6.72,46659.0,34608.0,12051.0
Europe,Czech Republic,Cereal,Online,M,7/8/2017,552037513.0,9022.0,200.77,114.3,1811346.94,1031214.6,780132.34
Australia and Oceania,Vanuatu,Cosmetics,Offline,C,2/24/2018,504240548.0,4838.0,419.34,252.57,2028766.92,1221933.66,806833.26
Europe,Luxembourg,Vegetables,Offline,L,2/13/2016,744683635.0,7291.0,148.02,87.37,1079213.82,637014.67,442199.15
North America,Benin,Personal Care,Online,L,8/7/2022,440603101.0,3104.0,89.69,62.19,278397.76,193037.76,85360.0
Middle East and North Africa,Somalia,Clothes,Offline,L,4/26/2021,629547774.0,6031.0,111.52,36.58,672577.12,220613.98,451963.14
Europe,Switzerland,Meat,Online,L,3/21/2020,169378983.0,1860.0,397.31,343.45,738996.6,638817.0,100179.6
Middle East and North Africa,Saudi Arabia,Personal Care,Offline,L,2/2/2020,688270556.0,3407.0,80.44,55.77,274059.08,190008.39,84050.69
Asia,Laos,Meat,Online,L,3/21/2021,734708821.0,5522.0,418.24,361.54,2309521.28,1996423.88,313097.4
Asia,Kyrgyzstan,Snacks,Online,C,8/6/2019,727492606.0,84.0,154.99,98.98,13019.16,8314.32,4704.84
Middle East and North Africa,Algeria,Baby Food,Offline,M,12/30/2022,705733239.0,1003.0,257.74,160.95,258513.22,161432.85,97080.37
North America,Angola,Office Supplies,Offline,C,10/3/2023,778854548.0,9224.0,618.24,498.38,5702645.76,4597057.12,1105588.64
North America,Mauritania,Cosmetics,Offline,M,5/30/2020,676592862.0,7718.0,444.24,267.57,3428644.32,2065105.26,1363539.06
