,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
0,Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Online,M,12/20/2019,957081544,552,$279.84,$174.76,$154471.68,$96467.52,$58004.16
1,Central America and the Caribbean,Panama,Snacks,Offline,C,7/5/2016,301644504,2167,$141.5,$90.37,$306630.5,$195831.79,$110798.71
2,Europe,Czech Republic,Beverages,Offline,C,9/12/2017,478051030,4778,$45.51,$30.49,$217446.78,$145681.22,$71765.56
3,Asia,North Korea,Cereal,Offline,L,5/13/2016,892599952,9016,$201.4,$114.66,$1815822.4,$1033774.56,$782047.84
4,Asia,Sri Lanka,Snacks,Offline,C,7/20/2023,571902596,7542,$167.26,$106.82,$1261474.92,$805636.44,$455838.48
5,Middle East and North Africa,Morocco,Personal Care,Offline,L,11/8/2016,412882792,48,$82.74,$57.37,$3971.52,$2753.76,$1217.76
6,Australia and Oceania,Federated States of Micronesia,Clothes,Offline,H,3/28/2017,932776868,8258,$109.51,$35.92,$904333.58,$296627.36,$607706.22
7,Europe,Bosnia and Herzegovina,Clothes,Online,M,10/14/2019,919133651,927,$107.81,$35.36,$99939.87,$32778.72,$67161.15
8,Middle East and North Africa,Afghanistan,Clothes,Offline,M,8/27/2022,579814469,8841,$112.02,$36.74,$990368.82,$324818.34,$665550.48
9,North America,Ethiopia,Baby Food,Online,M,4/13/2023,192993152,9817,$271.86,$169.77,$2668849.62,$1666632.09,$1002217.53
10,Middle East and North Africa,Turkey,Office Supplies,Offline,C,9/25/2019,557156026,3704,$640.48,$516.31,$2372337.92,$1912412.24,$459925.68
11,Middle East and North Africa,Oman,Cosmetics,Online,M,5/12/2019,741101920,7382,$460.68,$277.47,$3400739.76,$2048283.54,$1352456.22
12,Asia,Malaysia,Cereal,Offline,L,7/31/2022,333942162,9762,$213.22,$121.39,$2081453.64,$1185009.18,$896444.46
13,Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,H,7/6/2023,795100581,6786,$399.45,$240.59,$2710667.7,$1632643.74,$1078023.96
14,Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Online,L,11/28/2016,504313504,6428,$250.04,$156.15,$1607257.12,$1003732.2,$603524.92
15,Middle East and North Africa,Lebanon,Meat,Offline,H,12/17/2023,611629760,3693,$421.9,$364.7,$1558076.7,$1346837.1,$211239.6
16,Europe,Austria,Cereal,Offline,C,8/13/2020,987410676,5616,$191.0,$108.74,$1072656.0,$610683.84,$461972.16
17,Europe,Bulgaria,Office Supplies,Online,L,10/31/2016,672330081,6266,$641.44,$517.08,$4019263.04,$3240023.28,$779239.76
18,Sub-Saharan Africa,Mexico,Beverages,Online,C,3/13/2021,127374303,1742,$49.88,$33.42,$86890.96,$58217.64,$28673.32
19,Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,C,4/16/2019,783842170,5172,$279.84,$174.76,$1447332.48,$903858.72,$543473.76
20,Middle East and North Africa,Libya,Beverages,Offline,L,1/18/2016,993345010,1718,$43.95,$29.44,$75506.1,$50577.92,$24928.18
21,Middle East and North Africa,Algeria,Baby Food,Offline,M,9/5/2023,977806651,3572,$271.86,$169.77,$971083.92,$606418.44,$364665.48
22,Europe,Estonia,Fruits,Online,L,9/28/2022,579463422,4958,$9.98,$7.4,$49480.84,$36689.2,$12791.64
23,Australia and Oceania,Tuvalu,Beverages,Offline,L,3/22/2018,610864150,7132,$51.81,$34.71,$369508.92,$247551.72,$121957.2
24,Middle East and North Africa,Saudi Arabia,Snacks,Offline,L,4/25/2021,604870164,3378,$142.54,$91.03,$481500.12,$307499.34,$174000.78
25,Central America and the Caribbean,Cuba,Cereal,Online,H,3/13/2020,164655292,4015,$191.0,$108.74,$766865.0,$436591.1,$330273.9
26,Europe,Montenegro,Fruits,Offline,L,5/29/2022,313705861,1390,$9.98,$7.4,$13872.2,$10286.0,$3586.2
27,Central America and the Caribbean,Guatemala,Office Supplies,Online,M,1/17/2018,345820701,4885,$601.4,$484.81,$2937839.0,$2368296.85,$569542.15
28,North America,Guinea,Baby Food,Online,M,12/27/2018,975111138,5910,$262.74,$164.08,$1552793.4,$969712.8,$583080.6
29,Australia and Oceania,Vanuatu,Snacks,Online,C,4/1/2019,286001002,2907,$154.99,$98.98,$450555.93,$287734.86,$162821.07
30,Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,H,6/26/2023,483226621,6350,$399.45,$240.59,$2536507.5,$1527746.5,$1008761.0
31,Australia and Oceania,Australia,Clothes,Offline,M,1/17/2018,241836822,3744,$109.01,$35.75,$408133.44,$133848.0,$274285.44
32,Middle East and North Africa,Oman,Clothes,Online,H,7/3/2017,557192933,4626,$109.51,$35.92,$506593.26,$166165.92,$340427.34
33,North America,Malawi,Meat,Online,L,2/17/2018,694968783,5562,$391.97,$338.82,$2180137.14,$1884516.84,$295620.3
34,Middle East and North Africa,Lebanon,Fruits,Online,H,4/5/2019,441150701,5150,$9.06,$6.72,$46659.0,$34608.0,$12051.0
35,Europe,Czech Republic,Cereal,Online,M,7/8/2017,552037513,9022,$200.77,$114.3,$1811346.94,$1031214.6,$780132.34
36,Australia and Oceania,Vanuatu,Cosmetics,Offline,C,2/24/2018,504240548,4838,$419.34,$252.57,$2028766.92,$1221933.66,$806833.26
37,Europe,Luxembourg,Vegetables,Offline,L,2/13/2016,744683635,7291,$148.02,$87.37,$1079213.82,$637014.67,$442199.15
38,North America,Benin,Personal Care,Online,L,8/7/2022,440603101,3104,$89.69,$62.19,$278397.76,$193037.76,$85360.0
39,Middle East and North Africa,Somalia,Clothes,Offline,L,4/26/2021,629547774,6031,$111.52,$36.58,$672577.12,$220613.98,$451963.14
40,Europe,Switzerland,Meat,Online,L,3/21/2020,169378983,1860,$397.31,$343.45,$738996.6,$638817.0,$100179.6
41,Middle East and North Africa,Saudi Arabia,Personal Care,Offline,L,2/2/2020,688270556,3407,$80.44,$55.77,$274059.08,$190008.39,$84050.69
42,Asia,Laos,Meat,Online,L,3/21/2021,734708821,5522,$418.24,$361.54,$2309521.28,$1996423.88,$313097.4
43,Asia,Kyrgyzstan,Snacks,Online,C,8/6/2019,727492606,84,$154.99,$98.98,$13019.16,$8314.32,$4704.84
44,Middle East and North Africa,Algeria,Baby Food,Offline,M,12/30/2022,705733239,1003,$257.74,$160.95,$258513.22,$161432.85,$97080.37
45,North America,Angola,Office Supplies,Offline,C,10/3/2023,778854548,9224,$618.24,$498.38,$5702645.76,$4597057.12,$1105588.64
46,North America,Mauritania,Cosmetics,Offline,M,5/30/2020,676592862,7718,$444.24,$267.57,$3428644.32,$2065105.26,$1363539.06
47,Middle East and North Africa,Lebanon,Household,Offline,M,10/15/2020,198997008,6492,$660.77,$496.9,$4289718.84,$3225874.8,$1063844.04
48,Europe,Finland,Beverages,Online,H,3/16/2018,566428315,7581,$51.81,$34.71,$392771.61,$263136.51,$129635.1
49,Asia,Taiwan,Baby Food,Online,M,5/27/2020,369560611,52,$236.58,$147.74,$12302.16,$7682.48,$4619.68
50,Europe,Belgium,Snacks,Online,M,1/12/2023,519380223,5005,$167.26,$106.82,$837136.3,$534634.1,$302502.2
51,Asia,Laos,Office Supplies,Online,H,8/10/2018,197185981,568,$601.4,$484.81,$341595.2,$275372.08,$66223.12
52,Europe,San Marino,Office Supplies,Online,H,4/13/2020,904589211,6905,$699.12,$563.58,$4827423.6,$3891519.9,$935903.7
53,Australia and Oceania,Tuvalu,Household,Offline,H,11/23/2022,613513743,1205,$685.69,$515.64,$826256.45,$621346.2,$204910.25
54,Australia and Oceania,Kiribati,Clothes,Offline,M,10/22/2016,516195905,2694,$107.69,$35.32,$290116.86,$95152.08,$194964.78
55,Asia,Kyrgyzstan,Vegetables,Offline,H,12/3/2019,975184524,7626,$158.59,$93.61,$1209407.34,$713869.86,$495537.48
56,Australia and Oceania,Samoa ,Clothes,Online,M,12/8/2020,173340928,4287,$117.99,$38.7,$505823.13,$165906.9,$339916.23
57,North America,Central African Republic,Personal Care,Offline,H,12/16/2020,863838946,7995,$80.44,$55.77,$643117.8,$445881.15,$197236.65
58,Asia,Uzbekistan,Cereal,Offline,L,3/2/2022,920164906,6099,$213.22,$121.39,$1300428.78,$740357.61,$560071.17
59,Central America and the Caribbean,Dominica,Meat,Online,M,6/12/2016,986117637,2977,$452.67,$391.29,$1347598.59,$1164870.33,$182728.26
60,Middle East and North Africa,Qatar,Cereal,Online,L,6/18/2019,425808465,5042,$197.33,$112.34,$994937.86,$566418.28,$428519.58
61,Central America and the Caribbean,Saint Lucia,Beverages,Online,L,6/12/2023,473661220,5736,$43.24,$28.97,$248024.64,$166171.92,$81852.72
62,Europe,Bosnia and Herzegovina,Baby Food,Online,C,4/4/2023,184412229,531,$271.86,$169.77,$144357.66,$90147.87,$54209.79
63,Asia,South Korea,Vegetables,Offline,H,8/12/2022,483110320,1934,$147.2,$86.88,$284684.8,$168025.92,$116658.88
